,Item Name,ItemID,Sale Price,Customer Ratings,Number of Reviews,Offer Type,Department,Shipping Rate,Normal Shipping,Marketplace
0,The World of Debbie Macomber: Come Home to Color: An Adult Coloring Book,50092278,13.56,5.0,5,ONLINE_AND_STORE,"Arts, Crafts & Sewing",5.99,True,False
1,Johanna's Christmas: A Festive Coloring Book for Adults,53595316,11.07,4.8,5,ONLINE_AND_STORE,Toys,5.99,True,False
2,Calm the F*ck Down: An Inappropriate and Humorous Adult Coloring Book,53248591,6.99,5.0,4,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
3,Country Scenes Adult Coloring Book,33940493,5.99,4.55,20,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,True,False
4,Joyful Designs Artist's Adult Coloring Book,41676502,3.99,4.5,12,ONLINE_ONLY,Toys,5.99,False,False
5,"Adult Coloring Book: Cool Words: Coloring Book for Adults Featuring 30 Cool, Family Friendly Words",53247358,4.94,4.0,5,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
6,"Adult Coloring Books: Mandalas: Coloring Books for Adults Featuring 50 Beautiful Mandala, Lace and Doodle Patterns",53238574,4.84,5.0,2,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
7,"Pro-Art Pro Art Pottery Tool Kit, 8 Pieces",26678839,7.42,5.0,2,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
8,Winsor & Newton Artists' Quality Canvas Board,29552170,8.16,3.2,5,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
9,Artists' Quality Canvas Board,24497939,5.22,5.0,3,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
10,Johanna's Christmas: A Festive Coloring Book for Adults,53595316,11.07,4.8,5,ONLINE_AND_STORE,Toys,5.99,True,False
11,"Crayola Art With Edge, Bold & Fearless,40 Premium Coloring Books",170992200,6.69,5.0,2,ONLINE_AND_STORE,Toys,5.99,True,False
12,The World of Debbie Macomber: Come Home to Color: An Adult Coloring Book,50092278,13.56,5.0,5,ONLINE_AND_STORE,"Arts, Crafts & Sewing",5.99,True,False
13,The Dr. Seuss Coloring Book,52286691,8.81,5.0,3,ONLINE_AND_STORE,Books,5.99,True,False
14,Creative Haven Christmasscapes Coloring Book,38412155,5.99,5.0,1,ONLINE_ONLY,Toys,5.99,True,False
15,Plaid Stencil Decor Stencil Cutter Tool,24458723,11.5,2.667,3,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
16,Knotting Tool,24634605,12.49,4.0,2,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
17,Castin'Craft Reuseable Molds Jewelry 11 Shapes,24926046,5.29,4.0,3,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
18,"Cousin Craft & Jewelry Stretch Cord .5mm, 50'",25262416,3.64,5.0,1,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
19,"Cousin Jewelry Basics Metal Findings, 134pk, Silver, Starter Pack",35670618,3.38,3.75,4,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
20,Jewelry Basics Class In A Box Kit-Casual,26936011,21.99,4.5,2,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
21,Cousin Tool Set Jewelry Basics,12347617,17.74,3.769,13,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
22,Cousin Craft & Jewelry Crimp Tool,24607689,11.3,5.0,1,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
23,"Dorel Home Drafting and Craft Desk, Espresso",20604778,107.09,4.08,25,ONLINE_ONLY,"Arts, Crafts & Sewing",0.0,False,False
24,"Studio Designs Pro Craft Station, White and Maple",39353586,147.67,4.346,26,ONLINE_ONLY,"Arts, Crafts & Sewing",0.0,False,False
25,Futura Craft Station Work Table with Adjustable Safety Glass Top,17395402,189.99,4.529,333,ONLINE_ONLY,"Arts, Crafts & Sewing",0.0,False,False
26,Creative Options Pro Latch Utility Box,20682611,5.97,5.0,2,ONLINE_AND_STORE,"Arts, Crafts & Sewing",5.99,True,False
27,"ArtBin Store-In-Drawer Cabinet; White Art Craft Storage, 6809PC",12338105,22.4,3.943,35,ONLINE_AND_STORE,Home,5.99,True,False
28,Organizer Deluxe Boxbead 20Comp Jd.Lbl Clear 10.68X7.56X1.68,14003370,5.64,4.5,4,ONLINE_AND_STORE,"Arts, Crafts & Sewing",5.99,True,False
29,Creative Options Storage Rack Grab N Go Sm Blu/Gry,169456226,19.97,4.5,2,ONLINE_AND_STORE,"Arts, Crafts & Sewing",5.99,True,False
30,"South Shore Crea Craft Table, Multiple Finishes",23428873,259.99,4.055,109,ONLINE_ONLY,"Arts, Crafts & Sewing",0.0,False,False
31,"South Shore Artwork Craft Table with Storage, Multiple Finishes",44650164,299.99,4.667,21,ONLINE_ONLY,"Arts, Crafts & Sewing",0.0,False,False
32,Burgundy Hill Basket Kits,39067784,12.99,5.0,1,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
33,"""Flat Reed 5/8"""" 1 Pound Coil, Approximately 120'""",24634508,10.82,4.0,1,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
34,"Gulf Wax Household Paraffin Wax, 16 oz",10420578,7.1,4.852,27,ONLINE_AND_STORE,"Arts, Crafts & Sewing",5.99,True,False
35,"Wax Art Candle Craft Kit, Pack of 12",54906296,72.21,5.0,2,ONLINE_ONLY,Toys,0.0,True,False
36,"""Woodsies Jumbo Craft Sticks, 6"""", 300-Pack""",23081540,10.57,3.333,6,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,False,False
37,"Testors Craft Acrylic Paint, Matte, 6-Pack",49019741,8.8,5.0,1,ONLINE_AND_STORE,"Arts, Crafts & Sewing",5.99,True,False
38,"Rit Dye Liquid Fabric Dye, Dark Brown 8 oz",11078330,2.98,5.0,1,ONLINE_AND_STORE,"Arts, Crafts & Sewing",5.99,True,False
39,"Rit Aquamarine All-Purpose Liquid Dye, 8 Ounces",26590894,2.98,3.333,3,ONLINE_AND_STORE,"Arts, Crafts & Sewing",5.99,True,False
40,"Rit Dye Navy Blue, 8 fl oz",11078331,2.98,3.0,4,ONLINE_AND_STORE,"Arts, Crafts & Sewing",5.99,True,False
41,"Rit Liquid Dye, Emerald Green",43967033,2.98,5.0,1,ONLINE_AND_STORE,"Arts, Crafts & Sewing",5.99,True,False
42,"Rit Dye Liquid 8 oz-Cherry Red, Cherry Red",24929410,2.98,4.75,4,ONLINE_AND_STORE,"Arts, Crafts & Sewing",5.99,True,False
43,"Pure Garden Peony Floral Arrangement with Glass Vase, Pink",54635910,24.99,1.0,1,ONLINE_ONLY,Home,5.99,True,False
44,FloraCraft® Design It:® Floral Picks 120 ct Pack,17422626,2.47,5.0,1,ONLINE_AND_STORE,"Arts, Crafts & Sewing",5.99,True,False
45,"""Wire Cutters 6.5""""-""",17422627,4.14,1.0,1,ONLINE_AND_STORE,Home Improvement,5.99,True,False
46,AdTech Hi Temp Mini Hot Glue Gun,120772424,3.54,4.833,6,ONLINE_AND_STORE,Home Improvement,5.99,True,False
47,AdTech Lo Temp Mini Hot Glue Gun,105168885,3.28,4.333,3,ONLINE_AND_STORE,"Arts, Crafts & Sewing",5.99,True,False
48,"Westcott Premium Mini Hot Glue Gun, Low Temp",976909806,8.24,4.857,7,ONLINE_ONLY,"Arts, Crafts & Sewing",5.99,True,False
49,AdTech Combo Pack Hi Temp Hot Glue Gun and Sticks,104562800,4.27,4.75,4,ONLINE_AND_STORE,Home Improvement,5.99,True,False
